GEOID,NAME,estimate
18095,"Madison County, Indiana",129505
18097,"Marion County, Indiana",944523
18099,"Marshall County, Indiana",46595
18101,"Martin County, Indiana",10210
18103,"Miami County, Indiana",35901
18105,"Monroe County, Indiana",145403
18107,"Montgomery County, Indiana",38276
18109,"Morgan County, Indiana",69727
18111,"Newton County, Indiana",14018
18113,"Noble County, Indiana",47451
18115,"Ohio County, Indiana",5887
18117,"Orange County, Indiana",19547
18119,"Owen County, Indiana",20878
18121,"Parke County, Indiana",16996
18123,"Perry County, Indiana",19141
18125,"Pike County, Indiana",12411
18127,"Porter County, Indiana",168041
18129,"Posey County, Indiana",25589
18131,"Pulaski County, Indiana",12660
18133,"Putnam County, Indiana",37559
18135,"Randolph County, Indiana",25076
18137,"Ripley County, Indiana",28425
18139,"Rush County, Indiana",16704
18141,"St. Joseph County, Indiana",269240
18143,"Scott County, Indiana",23743
18145,"Shelby County, Indiana",44399
18147,"Spencer County, Indiana",20526
