county_name,state,population
Grafton County,NH,89118
Graham County,AZ,37220
Graham County,KS,2597
Graham County,NC,8861
Grainger County,TN,22657
Grand County,CO,14843
Grand County,UT,9225
Grand Forks County,ND,66861
Grand Isle County,VT,6970
Grand Traverse County,MI,86986
Granite County,MT,3079
Grant County,AR,17853
Grant County,IN,70061
Grant County,KS,7829
Grant County,KY,24662
Grant County,MN,6018
Grant County,ND,2394
Grant County,NE,614
Grant County,NM,29514
Grant County,OK,4527
Grant County,OR,7445
Grant County,SD,7356
Grant County,WA,89120
Grant County,WI,51208
Grant County,WV,11937
Grant Parish,LA,22309
Granville County,NC,59916
Gratiot County,MI,42476
Graves County,KY,37121
Gray County,KS,6006
Gray County,TX,22535
Grays Harbor County,WA,72797
Grayson County,KY,25746
Grayson County,TX,120877
Grayson County,VA,15533
Greeley County,KS,1247
Greeley County,NE,2538
Green County,KY,11258
Green County,WI,36842
Green Lake County,WI,19051
Greenbrier County,WV,35480
Greene County,AL,9045
Greene County,AR,42090
Greene County,GA,15994
Greene County,IA,9336
Greene County,IL,13886
Greene County,IN,33165
